	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
PASD1	0	0.01531	0	0	3.07516	0	3.7826	4.28808	4.32831	0	0	0	0.04432	0	0	2.88645	0	0	0	0	0	0.34135	0	0.4321	0
PASK	2.54786	1.634	1.35692	1.25288	1.2842	2.57813	1.37491	1.40328	0.79125	0.91178	1.65783	1.63324	1.80751	2.77933	2.01106	0.92457	1.08285	1.91827	1.70106	1.81055	1.33321	1.40532	3.40719	1.44835	0.7815
PATE1	0	0	0	0	0	0	0	0	0	0	0	0	0.05129	0	0	0	0	0	0	0	0.03258	0	0	0	0
PATE2	0	0.03532	0.15966	0.07144	0	0	0	0.27277	0.8526	0.05227	0.0304	0.15339	0.10302	0.03777	0.11669	0.14019	0.06803	0.0804	0.02971	0	0.03186	0.23541	0.05625	0.05999	0.29369
PATE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03924	0	0	0	0	0	0	0	0
PATE4	0	0.11014	0	0	0	0.09183	0	0.07061	0.28596	0.0408	0.0251	0	0.08085	0	0.00429	0.0287	0	0.09547	0	0	0.07707	0	0	0.05061	0.15095
PATL1	4.20861	3.93745	4.17486	2.4918	3.85265	4.77894	3.44098	3.84343	3.73432	3.92614	3.96362	4.13853	3.73689	3.98143	6.06773	3.2814	3.99814	3.47124	3.92501	4.14951	4.0118	3.81733	4.22736	4.51972	4.29755
PATL2	2.56063	0.68694	0.3106	0.47558	1.27436	1.13877	0.56699	0.34498	0.37978	0.8751	0.64943	1.03372	0.07701	2.41745	0.33286	1.40778	0.44745	0.88416	1.1911	0.89716	1.35176	0.09035	2.15286	0.4235	0.58255
PATZ1	2.79109	2.56256	3.66392	3.03306	2.90311	3.57742	2.80469	3.83683	2.94418	3.09911	2.70026	3.42234	4.00854	3.4619	4.00738	2.81825	2.90564	3.398	3.02696	3.19543	3.90744	4.04342	3.24475	3.80422	3.69859
PAWR	0.94442	4.27551	3.49783	1.20788	1.00525	0.74477	2.95628	2.69403	3.96647	2.37989	0.64638	1.60063	2.30048	2.42938	2.19755	0.02733	2.98035	0.95899	1.71529	2.01457	0.61222	0.60748	2.17104	0.64464	2.2923
PAX1	0	0	0.08029	0.01351	0	0	0	0	0	0.73791	0.00958	0.0311	0	0.00152	0	0	0.0185	0.00279	0.11062	0	0	0	0.04216	0	0
PAX2	0	0.01325	0	0	0	0	0.0419	0	0	0	0	0	0	0	0.05349	0	0	0	0	0.0274	0	0	0	0	0
PAX3	2.4281	3.95455	5.61917	3.90623	2.13591	4.06336	4.03315	4.56722	4.50484	1.22859	3.73971	3.50967	5.85719	0.40037	5.85087	1.56629	4.01768	0.91872	2.48455	4.3799	4.08066	5.08581	0.14526	3.66478	5.18506
PAX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX5	0.94829	2.19227	0.06604	0.03459	0.21474	0.28937	0.09252	0.03678	0.03044	0.05005	0.06376	0.24545	0.0483	4.76397	0.16105	0.02364	0.02815	0.20539	0.42569	0.30147	0.36355	0.02614	4.92172	0.48013	0.0141
PAX6	0.46695	0.75366	0.56935	0.18321	0.17572	0.12722	0.3004	0.28674	1.83089	0.19634	0.32431	0.14775	0.7815	0.31638	0.24867	0.13912	0.55109	0.17467	0.14739	0.09791	0.33077	0.13756	0.03827	0.21879	0.0853
PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00578	0.04487	0	0	0	0	0.01181	0	0	0	0
PAX8	0.05718	0.08124	1.19477	0.31934	0.39591	1.59596	0.13703	1.51216	0.5663	0.32398	0.76616	0.95569	0.12023	0.79597	0.40249	0.041	0.18625	0.82683	0.19053	0.14739	0.9389	0.69295	0.40521	0.07061	0.78617
PAX9	0.18501	3.31822	0.77482	0.02824	0.22714	0.13207	0.38966	1.33028	2.02616	0.05871	0.15278	0	0.44159	0.1118	1.03349	0.02661	0.23616	0.00742	0	0.99282	0.38952	0.94829	0.00464	0	0.13794
PAXBP1	3.48943	2.73426	3.0334	3.47076	3.00668	3.4971	3.31015	3.01185	3.67693	2.83485	2.85407	2.81944	2.87265	3.24038	2.83613	2.31403	2.62078	2.57288	2.49592	2.34229	2.75763	2.74911	2.70168	3.27012	3.70707
PAXIP1	1.82548	3.44485	2.94733	2.10333	2.57232	2.89664	2.31247	1.75959	1.58256	1.81608	2.29468	2.42458	3.18641	2.29121	3.26196	1.40694	3.05272	1.84935	2.3959	2.699	2.6577	2.80343	2.06022	2.63476	2.37748
PBDC1	4.44914	4.2844	5.21844	4.50726	4.45884	4.25054	4.53655	5.00914	4.53873	4.47091	4.6781	3.7931	4.00972	4.23937	4.7842	4.82289	4.3956	4.48743	4.24102	4.40769	4.83293	5.40182	4.31377	4.56627	4.92239
PBK	1.22637	4.80402	2.80529	5.63839	4.68953	2.30225	4.41792	3.55733	6.70645	1.46713	3.82675	3.40394	4.90832	2.42571	3.96148	4.48639	4.51939	3.65815	3.05582	2.76771	2.80311	3.67969	0.97054	3.75956	3.97549
PBLD	1.24138	0.83075	1.68238	1.74583	1.35176	1.11788	1.62089	2.0373	1.05815	1.21961	1.10786	1.44123	1.05053	1.20145	0.93949	1.40123	1.69808	1.21831	0.85947	1.06369	1.12354	1.4539	1.26545	1.69386	1.71325
PBOV1	0	0.02058	0	0	0	0.14653	0.03627	0	0.0442	0.02775	0.03439	0	0.05795	0.01622	0.00906	0.02127	0.09793	0.00467	0	0.03933	0.01659	0.02367	0.01293	0.00462	0
PBRM1	3.466	3.43845	3.87749	2.6015	3.54611	2.7838	3.21156	4.30327	3.41446	3.2858	3.23756	3.9864	4.25972	3.65909	5.14588	3.38154	4.05845	2.92457	3.30518	3.3637	3.26301	4.35429	3.68234	3.54252	3.96563
PBX1	1.26775	3.12502	1.47394	2.36036	2.23557	0.72897	0.87241	0.93578	1.05356	2.86383	0.97054	1.36793	0.57305	2.27218	2.10333	0.15522	1.57389	2.84506	1.4539	1.71213	3.16343	0.71766	2.81254	0.51216	0.66116
PBX2	5.32352	4.39224	5.29008	5.11192	3.9703	5.19905	4.40106	4.65274	4.02357	4.55283	4.44014	4.87864	4.36699	5.10346	4.35033	3.42982	4.7561	4.87144	4.3871	5.01693	5.39676	5.292	5.35062	5.7635	4.75961
PBX3	3.05215	3.40684	2.45257	2.77933	2.81759	2.87529	2.3456	3.42428	2.21174	3.62024	3.08674	2.44855	2.5878	3.0546	2.48699	2.38182	2.67397	3.15313	3.09433	2.83613	3.32204	1.98972	2.72754	2.67555	1.08165
PBX4	0.47115	0.28102	0.11339	0.58589	0.34822	1.01577	0.46467	0.49084	1.37798	0.70911	0.37427	1.00388	0.4009	0.66253	0.30272	0.0853	0.12236	0.79104	0.78696	0.7358	0.17798	0.18127	0.98765	0.64119	0.27224
PBXIP1	5.75751	5.20139	4.35299	4.5755	5.10249	4.70333	4.22736	5.1591	4.6875	5.00705	4.82026	5.21639	4.84839	5.432	4.56577	4.81187	4.57402	5.18114	4.92561	5.3709	5.21144	4.89959	6.333	4.93562	3.89432
PC	1.1119	0.77645	1.34784	1.0031	1.96364	1.77211	1.76335	2.32941	1.25712	1.73031	1.67806	1.53539	1.50918	1.00608	3.00073	3.28111	1.51465	1.27768	1.54452	0.91551	1.11551	2.85222	2.9487	1.49628	1.20184
PCBD1	5.28535	5.1684	5.57357	5.68295	5.47961	5.6754	5.61296	4.13057	4.97483	4.8744	5.2703	5.22174	4.10405	4.24385	3.86812	5.49846	4.1976	5.32609	5.35826	4.98861	4.72766	5.29966	4.76066	5.66598	6.04971
PCBD2	1.94459	1.82475	1.72822	1.64657	1.73526	0.82547	1.31494	1.78511	2.00482	1.54452	1.58189	1.66499	1.14819	1.52245	0.6949	2.07356	2.17445	1.43386	1.4975	1.4807	1.65685	1.39085	1.37023	1.17679	1.6377
PCBP1	7.44739	6.6082	7.41339	6.10127	7.22839	7.73809	7.30242	7.78208	6.6082	7.20029	7.30242	7.21086	7.42042	7.33411	7.80192	5.99064	6.84992	6.46366	7.19754	6.83581	6.91455	6.82065	7.34119	7.27783	6.42733
PCBP2	7.54637	7.27105	7.32865	6.76375	7.91946	7.56881	7.56881	6.93016	7.53472	7.19534	6.97339	7.15958	7.71177	7.52583	8.92105	6.66358	7.94953	7.12342	7.32468	8.00223	7.07655	7.78208	7.70756	6.88243	7.14755
PCBP3	1.27368	0.6703	0.23651	1.97098	0.22703	0.21825	0.33595	0.17275	1.00525	2.79142	1.63598	0.9685	0.15779	0.95827	0.65354	0.26238	0.49842	0.36332	1.59114	0.48372	1.15461	0.33233	1.4958	0.30977	0.70813
PCBP4	2.9292	3.24644	3.84698	3.98331	5.50276	3.65273	4.08293	4.14307	3.49574	3.30982	3.55849	4.50589	3.42778	2.2467	4.29193	3.43735	3.14409	4.31132	3.41044	3.08705	3.64426	6.94596	2.70986	4.14253	2.53301
PCCA	2.80373	2.95763	2.576	3.62509	2.5651	2.45295	3.40594	4.306	4.29938	2.54098	2.82984	3.36597	3.12715	2.73982	2.83518	2.92183	2.89478	3.64831	2.54786	3.95482	4.2119	4.1376	3.00668	4.00854	4.78657
PCCB	4.46389	4.15084	4.88227	5.06464	5.36555	4.28534	4.89283	4.25885	5.01116	3.72331	4.03425	4.51574	3.94556	3.97146	3.49373	5.83557	5.40446	5.11462	4.82866	4.54637	4.57141	5.73807	4.276	5.61802	6.15168
PCDH1	1.88186	3.05387	4.11789	3.46565	1.48405	3.17879	3.26268	2.80469	2.06132	4.38614	3.09111	2.92665	2.63576	1.93318	2.08358	1.76586	4.28247	2.59405	3.71338	2.93854	3.5045	3.72677	2.32558	2.57426	1.12991
PCDH10	0	0.0254	0.10161	0.02985	0	0	0	0	0.0103	0	0	0.01466	0.2334	0.00312	0.18711	0	0.24674	0	0.00776	0.04414	0.01419	0	0.13145	0.01764	0.03897
PCDH11X	0.07025	0	0.04677	0.03465	0.08225	0.10018	0.03095	0.04801	0.01576	0.00723	0	0.01368	0.02927	0.22401	0.00036	0	0.01234	0.01984	0.02053	0.03002	0.00778	0.01511	0.27188	0.00359	0.02183
PCDH11Y	0	0	0	0.01828	0	0	0	0	0.01085	0.00559	0	0	0	0.00155	0	0	0	0.00467	0	0	0.00774	0	0.06798	0.00214	0
PCDH12	1.27695	1.49068	0.79628	1.53428	0.92523	1.79151	0.68664	1.27768	0.95699	3.30082	1.8985	1.41913	1.30674	1.53677	0.81219	0.40806	2.23017	1.23691	1.53715	1.06301	1.27695	1.67647	1.98374	0.97142	1.05703
PCDH15	0.06211	0.13221	0.11209	0.10077	0	0	0.02942	0	0.02645	0	0	0	0.01735	0.38358	0.00032	0.01509	0.00994	0.01339	0.00869	0	0	0	1.12744	0.02188	0
PCDH17	1.67845	0.66859	0.79563	1.98183	0.92061	0.85899	1.2147	1.64281	1.74731	2.82605	1.74922	1.40254	1.05388	2.38889	0.10796	0.06734	1.60686	0.62646	1.00525	0.49129	0.97019	1.55822	1.39303	1.10455	0.22924
PCDH18	1.2657	0.75505	1.14738	3.66104	1.5247	2.26972	1.05323	1.5031	1.17299	3.77206	1.40897	1.82331	1.51431	1.26612	1.14588	0.36454	3.04968	2.69249	2.26938	2.35187	2.0084	2.09556	2.31013	0.67219	1.56134
PCDH19	0.12938	0.03957	0.19162	0.1576	0.05974	0.08644	0.02487	0.08455	0.04947	0.4164	0.08303	0.02235	0.1182	0.06846	0.05953	0.03107	0.26849	0.01455	0.14628	0.03888	0.16331	0.08581	0.35175	0.00181	0.0107
PCDH20	0	0.14803	0.06136	0.02263	0	0	0	0	0	0.56312	0.03499	0.02292	0	0.00374	0	0	0.92925	1.48405	0.00726	0.05005	0	0	0.01332	0	0.24938
PCDH7	1.62701	5.08507	5.52707	4.27843	0.4116	1.09017	0.705	3.09111	0.39648	2.30444	3.18448	1.02132	5.17831	1.74498	0.07859	0.0783	4.76889	1.98183	3.44338	3.75912	3.76662	4.97821	1.15888	1.89213	1.44123
PCDH8	0	0	0	0.01601	0.06411	0	0	0	0	0	0	0	0	0.00213	0	0	0	0.02663	0	0	0	0	0	0	0.01446
PCDH9	0.41343	1.01612	1.37737	0.44237	0.11437	0	0.12148	0.40071	0.08993	0.48712	0.69062	0.38842	2.19723	1.20749	0.25037	0.11123	3.4556	1.32199	0.50117	1.32377	0.37668	2.55486	1.44574	0.42799	0.14206
PCED1A	4.0181	3.13638	2.80865	4.16868	3.26231	4.11911	3.84152	3.29714	3.40875	4.30436	4.08066	3.58874	4.02855	3.17273	2.90714	3.1231	3.43255	4.7561	3.75709	3.93475	3.6912	3.23284	3.27619	3.87099	3.74454
PCED1B	4.81135	1.90907	0.41623	1.60935	2.82261	2.37547	0.96657	0.60426	0.39602	2.65202	1.84796	3.31561	0.38358	3.58809	2.14374	1.82475	1.19608	3.02051	2.80502	2.62948	2.54786	0.93949	3.90623	1.81209	1.22534
PCF11	3.36221	3.41636	3.73905	2.34916	2.24553	2.84608	2.71954	3.28726	2.01209	2.92665	2.18209	2.44429	3.45797	3.92614	4.04058	2.74115	3.03177	2.90988	2.87865	3.1918	3.18734	3.08394	3.86638	2.72427	3.23828
PCGF1	4.1205	3.92805	4.80775	4.33324	4.35299	5.06164	5.10906	3.99437	4.71648	3.71806	3.95597	3.31902	4.57081	3.71182	4.46599	5.03936	3.78405	4.63974	3.68528	3.94015	3.57345	3.95247	3.42671	4.06035	4.57813
PCGF2	3.55384	3.36155	3.74878	4.37346	3.66513	5.41492	4.19181	4.15121	3.65611	3.92964	4.70374	3.61849	3.94139	2.72059	3.92257	2.93693	4.40902	3.90623	4.19104	4.72698	4.34426	3.82121	3.09469	4.25237	3.65273
PCGF3	2.9156	2.7983	3.06498	2.96178	2.38182	3.34575	2.8995	3.82015	3.35441	3.46939	2.95035	3.14481	3.8586	2.47817	3.39159	2.88274	2.97767	3.11494	3.02428	2.47224	3.37838	3.31743	3.12502	3.83206	3.91373
PCGF5	5.18365	4.50589	3.59518	2.89575	4.33683	3.81305	4.09867	4.10941	3.78106	3.78643	3.82804	3.9571	2.39702	4.85045	3.49783	3.68832	2.89415	3.39061	3.98986	3.23082	4.12728	3.90697	4.12168	4.4317	2.97608
PCGF6	2.21775	2.28829	2.6047	3.30485	2.56586	2.19022	3.63991	3.05387	3.61056	2.5597	2.26245	2.33111	1.59151	2.51688	2.52462	2.92147	1.67694	2.06737	1.90641	1.44543	1.90034	2.11947	1.65225	2.33022	2.41036
PCID2	3.7931	4.45277	4.08926	4.67771	4.40106	4.30812	5.02971	4.77483	5.57036	3.87749	4.86837	4.49637	5.37166	4.56207	3.96563	5.20354	3.25409	5.0603	4.46011	4.75794	5.00768	3.06897	4.10333	3.71141	5.11032
PCIF1	3.5384	3.31781	3.77539	2.98337	3.59346	4.09545	2.9363	4.09751	3.28167	3.80379	4.14951	4.11402	4.87679	3.50518	4.61403	3.70145	3.35257	3.69828	3.78074	4.48024	3.7931	3.66594	4.14212	3.88438	3.74125
PCK1	0	0	0	1.21068	0	0	0.04506	0.06765	0	0.28888	0	0.0585	0	0.01423	1.49702	0.28186	0.0186	0.04238	0.02221	0.02614	0.04735	0.12067	2.19824	0	0
PCK2	3.86812	2.50725	3.79029	2.95822	3.27098	2.87447	4.46723	4.50428	4.3489	4.06336	3.605	3.17238	2.86868	3.26301	3.21887	4.36599	2.45831	3.99031	4.27015	2.68952	3.3852	3.55695	4.13473	3.5601	2.44612
PCLO	0.05934	0.84857	0.10024	0.03499	0.27983	0.53303	1.72962	0.58861	0.12612	0.01637	0.14697	3.01963	0.31816	0.06529	0.16444	0.45146	0.3318	0.02199	0.30603	0.83109	2.53994	1.55491	0.13896	3.55973	0.89129
PCM1	4.26099	4.8845	4.2593	4.36599	3.9467	3.45874	4.06579	3.67693	4.01253	3.93429	3.93707	4.01619	5.22229	4.68541	4.97199	2.66487	4.98681	3.82052	3.57975	4.68485	4.90078	4.60936	4.4807	3.67087	3.97423
PCMT1	5.50211	5.52894	7.12591	5.61206	6.5884	5.49939	5.56858	6.72675	7.03881	5.3896	5.24466	6.16761	7.22199	5.76065	5.59808	6.2156	6.12575	5.78568	6.25985	5.81246	6.24698	5.47437	5.28861	5.46415	5.34719
PCMTD1	6.25453	5.27329	4.39953	4.66037	4.50153	3.64669	4.23141	3.90312	4.85975	4.41654	4.11911	4.69633	5.07456	5.39531	4.53223	3.94733	4.995	4.18959	4.01253	4.27086	4.49782	3.72986	4.3956	4.46819	4.22288
PCMTD2	4.0933	6.41317	4.93751	4.85686	4.05769	3.59746	3.83563	3.53235	4.39859	3.93033	4.24163	4.5203	6.00207	4.52345	4.21522	2.41251	4.16537	4.06535	3.72297	4.87326	5.01256	4.79126	3.56337	4.32884	4.61745
PCNA	5.8909	6.02224	6.79482	7.29929	6.33794	6.97128	7.05418	6.35845	6.43247	5.85436	7.04195	7.01498	7.52583	6.47253	5.78015	6.27609	7.46436	6.70017	7.31558	7.2476	6.84776	6.85943	5.72741	7.52583	7.06523
PCNP	6.38264	7.26747	7.05134	6.36904	6.85737	5.25037	6.7313	6.56668	7.14755	5.73709	6.08449	5.83557	6.74017	6.54189	6.02469	5.56774	6.69785	5.84302	5.61098	6.13884	5.62635	6.56489	5.1489	6.37601	6.45267
PCNT	1.51826	1.29195	1.81134	1.47659	1.50918	1.62974	1.17256	1.4574	1.511	1.56525	1.22671	2.34473	1.40455	1.66499	1.44543	0.98096	1.77613	1.05027	1.54893	1.24217	1.29404	1.71642	2.08988	1.4967	1.3249
PCOLCE	4.34806	7.51596	3.22726	5.75682	3.91722	5.89873	3.51941	4.2502	3.91294	8.06322	6.64704	6.29129	4.42606	5.0565	3.48062	3.8384	5.14205	6.03561	6.56668	7.02435	5.06164	4.71343	6.7313	3.75269	2.86971
PCOLCE2	0	1.22396	0.29096	1.97562	0.69189	0.28216	2.09094	0	0.02699	2.16212	2.1075	0.45952	1.93393	2.33736	2.59607	0.20345	2.35187	2.89349	0.65006	0.26349	0.02292	1.48708	3.49413	3.28662	2.7557
PCP2	0.3474	0	0	0.15004	0	2.15368	0.11278	0	0	0.32146	0.79015	0	0.92731	0.29049	0	0.66145	0	0.1374	0.13127	0.07751	0.14314	0.43066	0.16175	0.10195	0.1667
PCP4	0	0	0	0.82136	0	0	0	0	0.63568	0	0	0.13158	0	0	0.20864	0	0	0.21974	0	0.12226	0.11418	0	0.0637	0	0.25037
PCP4L1	0.18057	0.07509	0	0.11196	0	0	0	0	0.04151	0.18088	0.03198	0	0	0.04097	0.00757	0	0	0	0	0.11225	0	0	0.66313	0.07252	0
PCSK1	0.10131	4.97342	0.09864	0.68163	3.41305	0.26936	0.09176	0	0.06926	0.92657	0.44816	1.86933	0.17719	0.04794	0.9389	0.86848	1.13247	0.01083	0.54942	3.25126	0.25356	2.5812	0.13192	0.63059	0.03888
PCSK1N	0	0.10516	0.35105	0.61364	0	0	0.21923	1.08165	0	0	0.21609	0.17497	2.02567	0	0.24312	1.45815	0.36037	0.02601	0.69465	1.80591	0	0.11985	0	0.20992	0.05661
PCSK2	0.05274	0.10987	2.70268	0.25275	0	0	0.61398	2.15074	0.01059	0.02179	2.70331	0.11437	1.07351	0	0.02513	0.05266	0.03746	0.03912	0	0	0.19147	0.31073	0.05621	0.15958	0.01248
PCSK4	0.24726	0.03556	0.25786	0.05823	0.12931	1.18634	0.68797	0.54275	0.7455	0.16939	0.54256	0.1178	0.41776	0	0.6938	0.2576	0.51828	0.15631	0.18456	0.09914	0.15551	0.68736	0.10841	0.31802	0.32587
PCSK5	0.49196	0.42024	0.63849	0.33328	0.27812	1.14051	0.73354	0.36005	0.3667	2.21834	0.5267	0.95229	0.22604	1.21565	0.37544	0.21077	0.59131	0.51142	1.08467	0.46512	0.707	0.54008	2.10131	0.67903	0.10974
PCSK6	0.65785	2.74878	2.36036	1.50103	0.41715	0.2345	0.06297	0.17798	0.38736	2.70026	1.01514	1.11665	0.61697	1.33211	0.15072	0.21436	3.44724	2.35734	2.24719	1.28497	0.41428	0.4829	1.32523	0.47575	2.1329
PCSK7	3.69828	2.8969	3.23792	2.50794	3.1625	3.8113	2.10172	3.05136	2.7823	4.92876	3.16728	3.2305	3.13142	4.3614	3.26368	2.12347	3.12164	3.74987	3.9571	3.77283	3.22296	3.48903	5.47356	2.93757	2.88006
PCSK9	0	0	0	0.04174	0	0	0	0.11663	0.17968	0.04934	0.05791	0.53485	0	0.01114	0.06003	0.42038	0.28572	0.01332	0.03348	0	0	0.05977	0.14191	0.53332	0.0176
PCTP	3.8473	3.58764	3.18158	3.67969	3.34867	2.97547	3.66904	3.58177	3.83994	3.71338	3.82191	3.08764	3.41004	3.22803	3.35223	3.91159	3.30707	3.78867	3.32144	3.16635	2.9137	3.07757	2.66609	3.68757	3.31089
PCYOX1	3.87247	4.05608	4.60781	3.45697	3.7476	3.16487	3.85946	4.55221	3.62593	3.39361	3.4954	4.03687	4.29721	3.33298	4.08833	2.98711	3.86526	2.58391	3.10967	3.64514	3.37363	3.17542	3.47913	4.21926	3.3341
PCYOX1L	2.38182	1.64213	2.35384	2.44221	3.23231	2.32527	2.255	2.65234	1.7765	2.17252	2.48209	3.04254	2.32875	2.69735	1.71488	3.07109	2.82914	2.25225	2.67582	2.39384	2.28899	2.99156	2.60864	1.60964	1.77091
PCYT1A	3.65577	3.99689	4.05258	3.29578	3.94944	3.47043	3.64146	4.28913	3.52015	4.16607	2.91881	3.6407	3.53806	3.55849	4.07251	3.81684	4.39605	4.02565	4.0646	3.40523	3.59213	4.53592	4.11702	3.5902	4.20264
PCYT1B	0.2378	0.30055	0.05578	0.03933	0.96132	0	0	0.1576	0.21274	0.0486	0.29369	0.3016	0.15817	0.02789	0.37942	1.07168	0.11196	0.23828	0.03916	0.05501	0.06087	0.4765	0.03115	0.08603	0.34448
PCYT2	2.20553	2.75902	3.44059	3.2913	2.43942	3.87204	3.02089	3.14827	3.37656	2.22436	3.83721	3.34835	4.1326	1.86059	3.99522	4.76787	2.38114	2.29087	3.07109	2.49685	3.52954	2.53129	2.58869	2.83164	2.873
PDAP1	5.13896	5.57641	5.80442	4.27551	5.71334	5.9472	4.71056	4.28209	3.71491	5.14969	5.81021	5.56462	5.80442	4.66312	5.38579	4.68485	5.68295	4.95331	5.75444	5.29684	5.13601	6.21047	4.94808	5.51014	4.41996
PDC	0	0.0452	0	0	0	0	0	0	0.05061	0.03063	0	0.15113	0	0	0.01344	0	0	0.04805	0	0.04506	0.04097	0	0.01715	0.0896	0
PDCD1	3.02208	0.63963	0.14595	0.88468	2.28076	2.74781	0.77335	0.24166	0.14363	1.34445	0.81502	2.01178	0.04177	1.4261	0.8526	1.96437	0.11253	1.4422	2.77779	1.98252	1.8702	0.52834	1.91576	0.62713	0.67518
PDCD10	5.20139	5.67815	5.62004	6.18379	6.43566	4.95574	6.00702	6.04067	6.99177	5.1643	5.20552	5.29008	4.78657	5.94347	5.03785	6.20942	5.69305	5.82927	5.27727	5.07525	4.93128	6.25138	4.70769	5.90936	6.58662
PDCD11	2.25595	2.23613	3.27216	1.65711	3.09623	2.82769	2.4735	3.08291	2.17924	2.77233	2.15672	3.31392	2.85697	2.95007	3.25863	2.40285	2.27608	2.33895	3.01535	2.58358	3.03278	4.66849	3.15351	3.42581	2.82069
PDCD1LG2	3.10855	1.00033	0.15779	1.87528	3.41573	1.28135	1.19363	0.96221	3.07314	3.55506	2.09957	2.79206	0.15605	2.68087	2.0473	2.76771	1.28996	2.87084	3.47445	2.61513	2.55556	1.12261	3.21011	1.58216	2.42971
PDCD2	3.99765	4.3415	4.57655	6.08331	5.10906	4.70176	4.80555	4.08066	5.71178	4.4569	4.84191	4.58761	4.51705	4.83457	4.00308	5.04929	4.02943	4.71392	4.51243	4.84655	5.11804	5.31758	4.47938	4.14658	4.37584
PDCD2L	2.24754	2.23263	2.71411	3.15313	2.14301	3.31927	3.50967	2.65373	3.03821	1.89953	2.51655	2.46795	2.04767	2.40108	2.0712	2.82841	1.73676	2.71083	2.19101	1.97134	1.73215	2.18579	2.01457	2.75237	3.2544
PDCD4	5.58263	6.25292	5.55494	4.87864	4.54425	3.96362	4.29624	5.07758	4.60262	4.57813	4.42512	3.80503	5.15475	5.88224	5.56184	4.60482	3.88302	4.40145	5.07525	5.08426	6.18753	6.0271	5.43865	5.02854	5.63257
PDCD5	6.47829	7.14755	7.27105	6.85737	6.72521	6.56059	7.65025	6.96217	6.63793	6.36268	7.12591	6.87593	6.28404	6.22427	6.14314	6.91186	5.87463	6.32052	6.5036	6.3549	6.45267	7.03881	5.68379	6.58991	6.26436
PDCD6	5.73267	7.06126	7.07655	7.38667	7.00952	6.28736	7.16547	7.01498	5.44047	6.11987	6.5052	7.39016	6.75763	6.3089	7.02874	6.51823	6.24698	6.17272	6.36268	6.41317	6.79107	6.86854	5.89776	6.77801	6.94138
PDCD6IP	4.54949	4.3637	5.11952	4.07203	4.63432	4.64236	4.66695	4.92312	4.95457	4.66849	4.44813	3.98911	5.01116	4.74867	4.82965	4.32607	5.02457	3.97945	4.55923	4.67771	4.62105	5.42252	4.34018	4.97078	4.78953
PDCD7	3.27619	3.97515	3.30982	3.05714	3.42471	3.28242	2.93463	3.30518	2.5053	2.73426	3.09583	3.22137	3.22872	3.32554	5.02854	3.19866	3.68757	3.68267	3.56264	3.30518	3.64184	2.55235	3.23169	2.95306	3.28618
PDCL	2.69829	1.33643	3.2939	3.55623	2.60931	2.50019	3.39254	3.11522	3.41374	3.11073	2.62914	2.65558	3.58991	3.22357	2.58322	3.1498	3.93828	3.05888	2.93854	3.10788	2.63307	2.50429	2.68798	2.61322	3.55769
PDCL2	0	0	0	0	0.20644	0	0	0	0	0.05045	0	0	0	0	0	5.05466	0	0	0	0	0	0	0	0.0402	0
PDCL3	4.2338	4.34532	4.91339	4.58646	4.77423	4.28999	4.44196	4.22689	5.09972	4.52857	4.4331	4.46819	4.04263	4.38522	5.40604	4.3905	4.08256	4.5945	4.7492	3.98375	4.08017	4.42656	4.56722	4.57402	4.97134
PDDC1	2.25189	2.64073	3.28618	2.60864	2.41935	2.80589	3.50825	3.51799	2.21405	3.24281	3.08291	2.94962	3.02527	2.00165	2.61223	2.95532	2.06704	2.93813	2.98774	2.61913	2.66337	2.0492	2.20993	2.57319	2.96634
PDE10A	0.46672	0.43029	1.68315	0.67457	0.83964	0.55662	0.50932	2.15672	1.27885	1.01404	0.89938	1.19644	1.47428	1.03211	1.10189	0.59424	0.97667	0.39191	0.61734	0.48896	2.15643	0.57779	0.66948	0.41945	0.30457
PDE11A	0.15605	0.07678	0.08725	0.51754	0.05706	0.07687	0.12119	0.38894	0.01882	0.08374	0.55493	0.09527	0.20358	0.10375	0.10513	0.08394	0.08191	0.07853	0.00771	0.10934	1.14088	0.06179	0.19525	0.0359	0.16528
PDE12	3.08642	2.88209	3.25515	2.82769	3.78835	2.83332	3.41823	3.29356	3.64801	2.44309	2.71925	3.31212	3.13271	3.13678	2.80075	2.69147	3.6089	1.97845	2.59754	2.89415	2.89415	4.64689	2.69861	3.61713	2.80285
PDE1A	1.92519	4.33154	0.83652	3.23828	2.00005	1.55287	1.75305	1.34838	4.3099	2.7599	1.49985	0.707	0.76084	2.31441	1.48749	0.99705	1.47463	3.40751	2.05479	3.58764	1.14588	1.04474	2.08847	1.21141	2.17477
